context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
5,92.6,150,162,162,802,4762,2854,187,0.0090,4260,8441,13507,0,0.0
6,87.7,142,162,162,802,5336,4765,190,0.0138,4588,8858,16322,0,0.0
10,92.6,150,162,81,401,5377,5557,206,0.0160,4594,9716,14164,0,0.0
20,90.7,147,162,41,201,4964,9904,220,0.0270,4288,8827,14204,0,0.0
30,82.7,139,168,28,134,5362,14867,215,0.0393,4282,9588,17426,0,0.0
50,90.0,153,170,17,81,5770,26075,233,0.0675,5028,10388,16988,0,0.0
70,86.3,145,168,12,58,6092,34712,222,0.0890,5220,10468,17248,0,0.0
100,88.8,142,160,9,41,5911,50136,237,0.1277,5120,9959,17244,0,0.0
150,83.3,125,150,6,27,6838,81427,258,0.2061,5279,12686,26833,0,0.0
200,85.5,171,200,5,21,7039,99802,246,0.2520,6238,11446,22089,0,0.0
300,0.0,0,0,2,14,0,0,0,0.0000,0,0,0,0,0.0
