context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
6,87.7,343,391,391,651,5351,2833,229,0.0006,4833,9100,13127,0,0.0
10,74.7,292,391,391,651,6190,11059,261,0.0018,5380,10669,21045,0,0.0
20,63.1,250,396,132,217,5423,12494,277,0.0020,4906,9251,14292,0,0.0
30,75.2,294,391,79,131,5509,13582,273,0.0022,4746,9190,14763,0,0.0
50,49.6,196,395,50,82,5851,26533,292,0.0042,5108,10360,16911,0,0.0
70,40.7,161,396,36,60,6333,36586,308,0.0057,5521,11345,22416,0,0.0
100,34.2,135,395,25,41,6581,54028,318,0.0083,5742,11543,16559,0,0.0
150,45.1,203,450,18,27,6796,67125,331,0.0103,5847,11168,21137,0,0.0
200,25.3,100,396,12,20,7012,97420,328,0.0148,5977,11779,17320,0,0.0
300,34.0,136,400,9,14,8749,124083,341,0.0188,7931,14033,21551,0,0.0
